,Treatment,Probe,Run,probe,rate,run,Respirometry.number,Date,Time,Tank,Colour,file.letter,Notes.druing.run,Notes.during.processing,Mass,bgrd,bgrdcorrectedrate,mass_corected_rate,HS,Treatment
137,500HS,9,31,9,-0.183945687,31,200,11232023,1300,9HS,Red,f,,,0.0651,-0.115817107,-0.06812858,1.046521969,HS,500
138,500HS,2,29,2,-0.131520249,29,181,11232023,1107,2HS,Blue,d,,,0.2957,-0.115817107,-0.015703142,0.053104979,HS,500
139,500HS,5,33,5,-0.023454517,33,211,11232023,1520,NO,NO,h,,,NA,-0.115817107,0.09236259,NA,HS,500
140,500HS,9,33,9,-0.205758003,33,214,11232023,1520,15HS,Blue,h,,,0.2444,-0.115817107,-0.089940896,0.36800694,HS,500
141,500HS,8,31,8,-0.179749251,31,199,11232023,1300,2HS,Green,f,,,0.2996,-0.115817107,-0.063932144,0.21339167,HS,500
142,500HS,2,31,2,-1.066201678,31,195,11232023,1300,15HS,Blue,f,,,0.5269,-0.115817107,-0.950384571,1.803728547,HS,500
143,500HS,1,29,1,-0.152664531,29,180,11232023,1107,2HS,Red,d,,,0.254,-0.115817107,-0.036847424,0.145068599,HS,500
144,500HS,2,33,2,-0.177893539,33,209,11232023,1520,2HS,Green,h,,,0.2189,-0.115817107,-0.062076432,0.283583519,HS,500
145,500HS,9,32,9,-0.195859485,32,207,11232023,1420,2HS,Red,g,,,0.2084,-0.115817107,-0.080042378,0.38408051,HS,500
146,500HS,1,31,1,-0.171569889,31,194,11232023,1300,15HS,Red,f,,,0.4272,-0.115817107,-0.055752782,0.130507449,HS,500
147,500HS,8,30,8,-0.821870836,30,192,11232023,1210,2HS,Red,e,,,0.4938,-0.115817107,-0.706053729,1.429837443,HS,500
148,500HS,9,30,9,-0.267533629,30,193,11232023,1210,2HS,Green,e,,,0.5591,-0.115817107,-0.151716522,0.271358473,HS,500
149,500HS,5,31,5,-0.268396389,31,197,11232023,1300,15HS,Green,f,,,0.2219,-0.115817107,-0.152579282,0.687603795,HS,500
150,500HS,5,32,5,-0.317394001,32,204,11232023,1420,15HS,Red,g,,,0.1702,-0.115817107,-0.201576894,1.18435308,HS,500
151,500HS,4,30,4,-0.096241167,30,189,11232023,1210,9HS,Blue,e,,,0.1749,-0.115817107,0.01957594,0,HS,500
152,500HS,7,31,7,-0.284045492,31,198,11232023,1300,2HS,Blue,f,,,0.4962,-0.115817107,-0.168228385,0.339033424,HS,500
153,500HS,2,30,2,-0.192124231,30,188,11232023,1210,15HS,Green,e,,,0.5255,-0.115817107,-0.076307124,0.145208609,HS,500
154,500HS,7,30,7,-0.232111361,30,191,11232023,1210,9HS,Blue,e,,,0.057,-0.115817107,-0.116294254,2.040250074,HS,500
155,500HS,4,32,4,-0.15744193,32,203,11232023,1420,15HS,Green,g,,,0.2057,-0.115817107,-0.041624823,0.202356943,HS,500
156,500HS,1,32,1,-0.188356705,32,201,11232023,1420,15HS,Blue,g,,,0.2427,-0.115817107,-0.072539598,0.29888586,HS,500
157,500HS,8,29,8,-0.140970054,29,185,11232023,1107,9HS,Blue,d,,,0.3795,-0.115817107,-0.025152947,0.066279176,HS,500
158,500HS,5,29,5,-0.182839802,29,183,11232023,1107,15HS,Green,d,,,0.5039,-0.115817107,-0.067022695,0.133007929,HS,500
159,500HS,8,32,8,-0.162992951,32,206,11232023,1420,2HS,Green,g,,,0.3355,-0.115817107,-0.047175844,0.140613545,HS,500
160,500HS,7,33,7,-0.231001972,33,212,11232023,1520,2HS,Blue,h,,,0.1613,-0.115817107,-0.115184865,0.714103318,HS,500
161,500HS,4,33,4,-0.209009177,33,210,11232023,1520,2HS,Red,h,,,0.1343,-0.115817107,-0.09319207,0.693909681,HS,500
162,500HS,7,32,7,-0.255025306,32,205,11232023,1420,2HS,Blue,g,,,0.1918,-0.115817107,-0.139208199,0.725798745,HS,500
163,750,1,39,1,-0.240010682,39,250,11242023,1110,7,Blue,b,,,0.2133,-0.069353144,-0.170657538,0.800082224,NOHS,750
164,750,2,37,2,-0.384287554,37,237,11232023,1945,1,Blue,k,,,0.3003,-0.069353144,-0.31493441,1.048732635,NOHS,750
165,750,8,37,8,-0.343216056,37,241,11232023,1945,7,Red,k,,,0.3608,-0.069353144,-0.273862912,0.759043549,NOHS,750
